id,datum,nove_pripady,nove_reinfekce,pripady_neockovani_neprodelali,pripady_neockovani_prodelali,pripady_ockovani_neprodelali,pripady_ockovani_prodelali,hospitalizace_bez_reinfekce,hospitalizace_vcetne_reinfekce,hospitalizace_pouze_reinfekce,nove_hospitalizace,nove_hospitalizace_komplet,hospitalizace_neockovani_neprodelali,hospitalizace_neockovani_prodelali,hospitalizace_ockovani_neprodelali,hospitalizace_ockovani_prodelali,jip_bez_reinfekce,jip_vcetne_reinfekce,jip_pouze_reinfekce,nove_jip,nove_jip_komplet,jip_neockovani_neprodelali,jip_neockovani_prodelali,jip_ockovani_neprodelali,jip_ockovani_prodelali
7025e6c5-d368-4297-b9d0-325593a03ef8,2020-08-23,136,,136,,,,128,128,,10,13,128,,,,29,29,,3,,29,,,
8cbc7875-2240-493c-912a-74a4bf03e1b0,2020-08-24,259,,259,,,,129,129,,9,13,129,,,,33,33,,5,4,33,,,
fd9f5346-6b8f-4a99-bd9d-2e8eafb236c6,2020-08-25,364,,364,,,,131,131,,16,17,131,,,,29,29,,2,,29,,,
ba2fd4ca-57d7-4d11-8557-f156d59bb256,2020-08-26,396,,396,,,,136,136,,15,18,136,,,,31,31,,4,2,31,,,
64e0e1ea-989c-4de4-8090-3616c0ffbefc,2020-08-27,350,,350,,,,147,147,,21,23,147,,,,34,34,,5,1,34,,,
43eaa0f7-9361-492b-8170-e01ad461f61a,2020-08-28,485,,485,,,,156,156,,23,23,156,,,,37,37,,5,2,37,,,
fc209d3d-09df-4b3e-96e6-f002f3597bdc,2020-08-29,320,,320,,,,155,155,,15,15,155,,,,37,37,,5,5,37,,,
d00b8dc8-bac1-4a88-a00d-873f35d3c432,2020-08-30,275,,275,,,,154,154,,15,16,154,,,,39,39,,4,3,39,,,
22c011c4-b66b-45b3-ae80-9da4eefcec25,2020-08-31,256,,256,,,,171,171,,22,23,171,,,,40,40,,3,3,40,,,
215d135d-e8bd-49bf-a2f0-788e22f8bc49,2020-09-01,497,,497,,,,178,178,,20,20,178,,,,45,45,,6,5,45,,,
02eb98e8-f68f-4a7a-b7c4-be000f24fd42,2020-09-02,645,1,645,1,,,180,180,,19,19,180,,,,49,49,,5,3,49,,,
f9011507-ea77-464b-9f6c-72e96b908864,2020-09-03,675,,675,,,,195,195,,36,37,195,,,,46,46,,7,6,46,,,
621353af-2962-425d-b925-5e25ca45ba42,2020-09-04,797,,797,,,,207,207,,34,34,207,,,,51,51,,7,4,51,,,
d0acc87a-0108-4e60-98c9-2d1cef8316cd,2020-09-05,504,,504,,,,209,209,,33,33,209,,,,49,49,,4,2,49,,,
3362ec98-61da-496f-9476-4aab7c40e2a7,2020-09-06,410,,410,,,,220,220,,20,21,220,,,,52,52,,5,4,52,,,
11167872-98ec-496d-a88d-dd8bcdb56e28,2020-09-07,561,1,561,1,,,256,256,,45,46,256,,,,53,53,,7,4,53,,,
